Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,70 V	1,24 V	2,45 V	-0,70 V	10,1 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,310	1,45	0,06
0,311	1,50	0,06
0,312	1,60	0,06
0,313	1,75	0,08
0,314	1,90	0,08
0,315	2,05	0,08
0,316	2,20	0,08
0,317	2,30	0,08
0,318	2,35	0,10
0,319	2,40	0,10
0,320	2,40	0,10
0,321	2,40	0,10
0,322	2,40	0,10
0,323	2,40	0,10
0,324	2,40	0,10
0,325	2,40	0,10
0,326	2,40	0,10
0,327	2,40	0,10
0,328	2,40	0,10
0,329	2,45	0,10
0,330	2,40	0,10
0,331	2,40	0,10
0,332	2,40	0,08
0,333	2,45	0,08
0,334	2,40	0,08
0,335	2,40	0,08
0,336	2,40	0,08
0,337	2,40	0,06
0,338	2,40	0,06
0,339	2,40	0,06
0,340	2,40	0,06
0,341	2,40	0,04
0,342	2,40	0,04
0,343	2,40	0,04
0,344	2,40	0,04
0,345	2,40	0,02
0,346	2,40	0,02
0,347	2,35	0,02
0,348	2,35	0,00
0,349	2,35	0,00
0,350	2,35	0,00
0,351	2,30	0,00
0,352	2,30	-0,02
0,353	2,25	-0,02
0,354	2,20	-0,04
0,355	2,15	-0,04
0,356	2,10	-0,04
0,357	2,00	-0,04
0,358	1,90	-0,06
0,359	1,80	-0,06
0,360	1,70	-0,06
0,361	1,60	-0,06
0,362	1,50	-0,08
0,363	1,40	-0,08
0,364	1,25	-0,08
0,365	1,15	-0,08
0,366	1,05	-0,08
0,367	1,00	-0,10
0,368	0,80	-0,10
0,369	0,65	-0,10
0,370	0,50	-0,10
0,371	0,40	-0,10
0,372	0,30	-0,10
0,373	0,20	-0,10
0,374	0,10	-0,10
0,375	0,00	-0,10
0,376	-0,10	-0,10
0,377	-0,20	-0,10
0,378	-0,25	-0,10
0,379	-0,30	-0,10
0,380	-0,40	-0,10
0,381	-0,50	-0,10
0,382	-0,55	-0,10
0,383	-0,60	-0,08
0,384	-0,60	-0,08
0,385	-0,60	-0,08
0,386	-0,65	-0,08
0,387	-0,65	-0,08
0,388	-0,65	-0,06
0,389	-0,60	-0,06
0,390	-0,55	-0,06
0,391	-0,55	-0,06
0,392	-0,55	-0,04
0,393	-0,55	-0,04
0,394	-0,50	-0,04
0,395	-0,40	-0,02
0,396	-0,30	-0,02
0,397	-0,20	-0,02
0,398	-0,10	0,00
0,399	-0,05	0,00
0,400	0,10	0,00
0,401	0,25	0,00
0,402	0,35	0,02
0,403	0,45	0,02
0,404	0,50	0,02
0,405	0,65	0,04
0,406	0,80	0,04
0,407	0,95	0,04
0,408	1,10	0,04
0,409	1,25	0,06
0,410	1,35	0,06
0,411	1,50	0,06
0,412	1,70	0,06
0,413	1,85	0,08
0,414	1,95	0,08
0,415	2,05	0,08
0,416	2,15	0,08
0,417	2,25	0,08
0,418	2,35	0,10
0,419	2,40	0,10
0,420	2,40	0,10
0,421	2,40	0,10
0,422	2,40	0,10
0,423	2,40	0,10
0,424	2,40	0,10
0,425	2,45	0,10
0,426	2,40	0,10
0,427	2,40	0,10
0,428	2,40	0,10
0,429	2,40	0,10
0,430	2,40	0,10
0,431	2,40	0,08
0,432	2,40	0,08
0,433	2,40	0,08
0,434	2,40	0,08
0,435	2,40	0,08
0,436	2,40	0,08
0,437	2,40	0,06
0,438	2,40	0,06
0,439	2,40	0,06
0,440	2,40	0,06
0,441	2,40	0,04
0,442	2,40	0,04
0,443	2,40	0,04
0,444	2,40	0,04
0,445	2,40	0,02
0,446	2,40	0,02
0,447	2,40	0,02
0,448	2,40	0,00
0,449	2,35	0,00
0,450	2,30	0,00
0,451	2,30	0,00
0,452	2,25	-0,02
0,453	2,25	-0,02
0,454	2,20	-0,04
0,455	2,15	-0,04
0,456	2,05	-0,04
0,457	2,00	-0,04
0,458	1,90	-0,06
0,459	1,85	-0,06
0,460	1,75	-0,06
0,461	1,60	-0,06
0,462	1,45	-0,08
0,463	1,35	-0,08
0,464	1,25	-0,08
0,465	1,15	-0,08
0,466	1,00	-0,08
0,467	0,90	-0,10
0,468	0,75	-0,10
0,469	0,65	-0,10
0,470	0,60	-0,10
0,471	0,50	-0,10
0,472	0,30	-0,10
0,473	0,15	-0,10
0,474	0,05	-0,10
0,475	-0,05	-0,10
0,476	-0,10	-0,10
0,477	-0,20	-0,10
0,478	-0,25	-0,10
0,479	-0,35	-0,10
0,480	-0,40	-0,10
0,481	-0,45	-0,10
0,482	-0,45	-0,10
0,483	-0,55	-0,08
0,484	-0,65	-0,08
0,485	-0,70	-0,08
0,486	-0,70	-0,08
0,487	-0,65	-0,08
0,488	-0,65	-0,06
0,489	-0,65	-0,06
0,490	-0,60	-0,06
0,491	-0,60	-0,06
0,492	-0,55	-0,04
0,493	-0,45	-0,04
0,494	-0,40	-0,04
0,495	-0,35	-0,02
0,496	-0,35	-0,02
0,497	-0,25	-0,02
0,498	-0,15	0,00
0,499	-0,05	0,00
0,500	0,10	0,00
