Oscilloscope 1.6.5

Experiment
Name

L E G E N D
CH A	
CH B	

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	1,66 V	0,43 V	2,50 V	-1,95 V	10,0 kHz
B	0,07 V	0,00 V	0,10 V	-0,10 V	10,0 kHz


Time [ms]	CH A [V]	CH B [V]
0,162	-0,85	-0,10
0,163	-1,00	-0,10
0,164	-1,10	-0,10
0,165	-1,20	-0,10
0,166	-1,30	-0,10
0,167	-1,40	-0,10
0,168	-1,50	-0,10
0,169	-1,55	-0,10
0,170	-1,65	-0,10
0,171	-1,70	-0,10
0,172	-1,75	-0,10
0,173	-1,80	-0,08
0,174	-1,85	-0,08
0,175	-1,90	-0,08
0,176	-1,90	-0,08
0,177	-1,90	-0,08
0,178	-1,90	-0,06
0,179	-1,90	-0,06
0,180	-1,90	-0,06
0,181	-1,85	-0,06
0,182	-1,80	-0,04
0,183	-1,70	-0,04
0,184	-1,70	-0,04
0,185	-1,65	-0,02
0,186	-1,60	-0,02
0,187	-1,50	-0,02
0,188	-1,40	0,00
0,189	-1,30	0,00
0,190	-1,20	0,00
0,191	-1,10	0,00
0,192	-1,00	0,02
0,193	-0,85	0,02
0,194	-0,70	0,02
0,195	-0,55	0,04
0,196	-0,45	0,04
0,197	-0,35	0,04
0,198	-0,20	0,04
0,199	-0,05	0,06
0,200	0,10	0,06
0,201	0,25	0,06
0,202	0,40	0,06
0,203	0,55	0,08
0,204	0,70	0,08
0,205	0,85	0,08
0,206	1,00	0,08
0,207	1,10	0,08
0,208	1,25	0,10
0,209	1,35	0,10
0,210	1,50	0,10
0,211	1,60	0,10
0,212	1,75	0,10
0,213	1,85	0,10
0,214	1,95	0,10
0,215	2,05	0,10
0,216	2,15	0,10
0,217	2,25	0,10
0,218	2,35	0,10
0,219	2,35	0,10
0,220	2,40	0,10
0,221	2,45	0,10
0,222	2,45	0,08
0,223	2,50	0,08
0,224	2,50	0,08
0,225	2,50	0,08
0,226	2,50	0,08
0,227	2,50	0,06
0,228	2,50	0,06
0,229	2,50	0,06
0,230	2,50	0,06
0,231	2,45	0,04
0,232	2,45	0,04
0,233	2,45	0,04
0,234	2,40	0,04
0,235	2,40	0,02
0,236	2,35	0,02
0,237	2,30	0,02
0,238	2,25	0,00
0,239	2,20	0,00
0,240	2,10	0,00
0,241	2,05	0,00
0,242	1,95	-0,02
0,243	1,80	-0,02
0,244	1,70	-0,02
0,245	1,60	-0,04
0,246	1,45	-0,04
0,247	1,35	-0,04
0,248	1,20	-0,06
0,249	1,05	-0,06
0,250	0,90	-0,06
0,251	0,80	-0,06
0,252	0,65	-0,08
0,253	0,50	-0,08
0,254	0,30	-0,08
0,255	0,15	-0,08
0,256	0,00	-0,08
0,257	-0,15	-0,10
0,258	-0,30	-0,10
0,259	-0,40	-0,10
0,260	-0,55	-0,10
0,261	-0,70	-0,10
0,262	-0,85	-0,10
0,263	-0,95	-0,10
0,264	-1,05	-0,10
0,265	-1,20	-0,10
0,266	-1,30	-0,10
0,267	-1,45	-0,10
0,268	-1,50	-0,10
0,269	-1,60	-0,10
0,270	-1,65	-0,10
0,271	-1,70	-0,10
0,272	-1,80	-0,10
0,273	-1,80	-0,08
0,274	-1,85	-0,08
0,275	-1,85	-0,08
0,276	-1,85	-0,08
0,277	-1,90	-0,08
0,278	-1,95	-0,06
0,279	-1,95	-0,06
0,280	-1,90	-0,06
0,281	-1,85	-0,06
0,282	-1,80	-0,04
0,283	-1,75	-0,04
0,284	-1,70	-0,04
0,285	-1,65	-0,02
0,286	-1,55	-0,02
0,287	-1,45	-0,02
0,288	-1,40	-0,02
0,289	-1,35	0,00
0,290	-1,25	0,00
0,291	-1,15	0,00
0,292	-1,00	0,02
0,293	-0,85	0,02
0,294	-0,75	0,02
0,295	-0,60	0,04
0,296	-0,50	0,04
0,297	-0,35	0,04
0,298	-0,15	0,04
0,299	0,00	0,06
0,300	0,10	0,06
0,301	0,20	0,06
0,302	0,35	0,06
0,303	0,50	0,08
0,304	0,65	0,08
0,305	0,80	0,08
0,306	0,95	0,08
0,307	1,10	0,08
0,308	1,25	0,10
0,309	1,40	0,10
0,310	1,55	0,10
0,311	1,65	0,10
0,312	1,70	0,10
0,313	1,85	0,10
0,314	1,95	0,10
0,315	2,05	0,10
0,316	2,15	0,10
0,317	2,25	0,10
0,318	2,30	0,10
0,319	2,35	0,10
0,320	2,40	0,10
0,321	2,45	0,10
0,322	2,50	0,08
0,323	2,50	0,08
0,324	2,50	0,08
0,325	2,50	0,08
0,326	2,50	0,08
0,327	2,50	0,06
0,328	2,50	0,06
0,329	2,50	0,06
0,330	2,50	0,06
0,331	2,45	0,04
0,332	2,45	0,04
0,333	2,45	0,04
0,334	2,45	0,04
0,335	2,40	0,02
0,336	2,35	0,02
0,337	2,30	0,02
0,338	2,25	0,00
0,339	2,20	0,00
0,340	2,10	0,00
0,341	2,00	0,00
0,342	1,90	-0,02
0,343	1,80	-0,02
0,344	1,75	-0,02
0,345	1,60	-0,04
0,346	1,45	-0,04
0,347	1,30	-0,04
0,348	1,15	-0,06
0,349	1,05	-0,06
0,350	0,90	-0,06
0,351	0,75	-0,06
0,352	0,65	-0,08
0,353	0,45	-0,08
0,354	0,30	-0,08
0,355	0,20	-0,08
0,356	0,05	-0,08
0,357	-0,10	-0,10
0,358	-0,30	-0,10
0,359	-0,45	-0,10
0,360	-0,60	-0,10
0,361	-0,70	-0,10
0,362	-0,85	-0,10
0,363	-0,95	-0,10
0,364	-1,10	-0,10
0,365	-1,20	-0,10
0,366	-1,30	-0,10
0,367	-1,40	-0,10
0,368	-1,45	-0,10
0,369	-1,55	-0,10
0,370	-1,65	-0,10
0,371	-1,75	-0,10
0,372	-1,80	-0,10
0,373	-1,80	-0,08
0,374	-1,85	-0,08
0,375	-1,90	-0,08
0,376	-1,90	-0,08
0,377	-1,90	-0,08
0,378	-1,90	-0,06
0,379	-1,85	-0,06
0,380	-1,85	-0,06
0,381	-1,85	-0,06
0,382	-1,85	-0,04
0,383	-1,80	-0,04
0,384	-1,70	-0,04
0,385	-1,65	-0,04
0,386	-1,55	-0,02
0,387	-1,50	-0,02
0,388	-1,40	-0,02
0,389	-1,30	0,00
0,390	-1,20	0,00
0,391	-1,05	0,00
0,392	-1,00	0,02
0,393	-0,90	0,02
0,394	-0,75	0,02
0,395	-0,65	0,04
0,396	-0,50	0,04
0,397	-0,35	0,04
0,398	-0,20	0,04
0,399	-0,05	0,06
0,400	0,10	0,06
0,401	0,25	0,06
0,402	0,45	0,06
0,403	0,55	0,08
0,404	0,65	0,08
0,405	0,80	0,08
0,406	0,95	0,08
0,407	1,10	0,08
0,408	1,25	0,08
0,409	1,35	0,10
0,410	1,50	0,10
0,411	1,60	0,10
0,412	1,75	0,10
0,413	1,85	0,10
0,414	2,00	0,10
0,415	2,05	0,10
0,416	2,15	0,10
0,417	2,20	0,10
0,418	2,30	0,10
0,419	2,35	0,10
0,420	2,40	0,10
0,421	2,45	0,10
0,422	2,50	0,08
0,423	2,50	0,08
0,424	2,50	0,08
0,425	2,50	0,08
0,426	2,50	0,08
0,427	2,50	0,06
0,428	2,50	0,06
0,429	2,50	0,06
0,430	2,50	0,06
0,431	2,50	0,04
0,432	2,45	0,04
0,433	2,45	0,04
0,434	2,40	0,04
0,435	2,40	0,02
0,436	2,35	0,02
0,437	2,35	0,02
0,438	2,25	0,00
0,439	2,15	0,00
0,440	2,10	0,00
0,441	2,00	0,00
0,442	1,90	-0,02
0,443	1,85	-0,02
0,444	1,70	-0,02
0,445	1,60	-0,04
0,446	1,45	-0,04
0,447	1,35	-0,04
0,448	1,25	-0,06
0,449	1,10	-0,06
0,450	0,90	-0,06
0,451	0,75	-0,06
0,452	0,60	-0,08
0,453	0,45	-0,08
0,454	0,30	-0,08
0,455	0,15	-0,08
0,456	0,00	-0,08
0,457	-0,15	-0,10
0,458	-0,30	-0,10
0,459	-0,40	-0,10
0,460	-0,50	-0,10
0,461	-0,70	-0,10
0,462	-0,85	-0,10
0,463	-1,00	-0,10
0,464	-1,10	-0,10
0,465	-1,20	-0,10
0,466	-1,30	-0,10
0,467	-1,40	-0,10
0,468	-1,50	-0,10
0,469	-1,55	-0,10
0,470	-1,65	-0,10
0,471	-1,65	-0,10
0,472	-1,75	-0,10
0,473	-1,80	-0,08
0,474	-1,90	-0,08
0,475	-1,90	-0,08
0,476	-1,90	-0,08
0,477	-1,90	-0,08
0,478	-1,90	-0,06
0,479	-1,90	-0,06
0,480	-1,90	-0,06
0,481	-1,85	-0,06
0,482	-1,80	-0,04
0,483	-1,70	-0,04
0,484	-1,70	-0,04
0,485	-1,65	-0,02
0,486	-1,60	-0,02
0,487	-1,50	-0,02
0,488	-1,40	-0,02
0,489	-1,30	0,00
0,490	-1,20	0,00
0,491	-1,10	0,00
0,492	-1,00	0,02
0,493	-0,85	0,02
0,494	-0,70	0,02
0,495	-0,60	0,04
0,496	-0,50	0,04
0,497	-0,35	0,04
0,498	-0,25	0,04
0,499	-0,05	0,06
0,500	0,10	0,06
